"","KIR3DP1","KIR2DS5","KIR2DL3","KIR2DP1","KIR2DS3","KIR2DS2","KIR2DL4","KIR3DL3","KIR3DL1","KIR3DS1","KIR2DL2","KIR3DL2","KIR2DS4","KIR2DL1","KIR2DS1","KIR2DL5"
"1151_S621_L002_R",0.492259386856221,0.00183158170162662,1.2479176660416,1.23339583969299,0.614670097248266,0.00091579085081331,0.847978718764991,1,1.19698225110113,0.0247263529719594,0.00130827264401901,1.26797784658323,1.09249487593214,0.865422354018577,0.000697745410143474,0.429723954472112
"1152_S622_L002_R",0.47824183521583,0.00026267402153927,1.29807664244228,1.24583369815836,0.000291860023932522,0.0019554621603479,0.928319178122173,1,1.28284154919301,0.0283979803286344,0.000408604033505531,1.30548988705017,1.19534191401804,1.0566500306453,0.000642092052651548,0.00887254472754867
"1153_S623_L002_R",0.476914673413063,0.494135234590616,1.22599471021159,1.2191237350506,0.00077621895124195,0.000891214351425943,0.894721711131555,1,0.654611315547378,0.670164443422263,0.00129369825206992,1.29116835326587,0.605882014719411,1.0678760349586,0.252932382704692,0.44396849126035
"1155_S625_L002_R",0.478286299166545,0.945342886386899,0.669659306916216,1.23632109957596,0.657142857142857,0.610001462202076,0.87477701418336,1,0.00143295803480041,1.25029975142565,0.482175756689575,1.29902032460886,0.000701856996636935,0.926275771311595,0.481766340108203,1.15829799678316
"1156_S626_L002_R",0.477244399528381,0.505204648812532,1.27299983156476,1.26333164898097,0.000774802088596934,0.00168435236651507,0.868856324743136,1,0.692504631969008,0.662051541182415,0.00131379484588176,1.23132895401718,0.592925720060637,1.04746504968839,0.249957891190837,0.410274549435742
"1157_S627_L002_R",0.490208877284595,0.947089540777146,1.32149439410229,1.31634925510674,0.00211181078175395,0.000959913991706343,0.900360927660882,1,0.00794808785132852,1.29277376747043,0.000767931193365075,1.26754722776839,0.00061434495469206,1.06312394409461,0.4637152511135,0.825718015665796
"1158_S628_L002_R",0.230242688238955,0.468041603698106,0.633063679734495,0.621299671081874,0.000385219426912022,0.566183660769846,0.428038047826473,1,0.630930156754674,0.0172459774202151,0.466619255044893,1.18917237087741,0.587578155095268,0.515334696417459,0.230894598038344,0.365010223130945
"1160_S630_L002_R",0.473560926987291,0.000398704211313232,0.610964365811114,0.620483428856217,9.9676052828308e-05,0.54816845252928,0.868278096187391,1,1.15783702965363,0.0189384500373785,0.398455021181161,1.22227759780713,1.10032394717169,0.486419137802143,0.000847246449040618,0.00593072514328433
"1161_S631_L002_R",0.471383039581574,0.000544825519627339,0.00215206080252799,0.630363126208832,0.632951047427061,1.08935138521888,0.839930262333488,1,1.21496090876897,0.0229643956522924,0.89397695388052,1.19491132964668,1.05717943828489,0.371598245661827,0.00705549047917404,0.337110790269416
"1163_S632_L002_R",0.492373722223504,0.000784548999700025,0.00163832291113829,0.59505734130189,0.617232388028705,1.07247848258993,0.835683134504004,1,1.21851997138704,0.0251055679904008,0.84249025082493,1.1782079977848,1.04105037266077,0.374437547592127,0.0053533931744237,0.345686134250179
"1165_S633_L002_R",0.458089171974522,0.000438782731776362,1.21673036093418,1.20093418259023,0.000240622788393489,0.00130219391365888,0.88553432413305,1,1.19310686482661,0.0302193913658882,0.000552016985138004,1.23380042462845,1.11782024062279,0.993021939136589,0.000679405520169851,0.0104458598726115
"1166_S634_L002_R",0.489408327246165,0.495957280673031,0.623989320168258,0.636256013702426,0.000554142213042493,0.581748570564973,0.914838417168333,1,0.620639278607592,0.679252411778041,0.453515024810458,1.2621092667691,0.583939951134732,0.552731669227475,0.234251026422508,0.445505151003753
"1167_S635_L002_R",0.498851970124832,0.000607004301813095,1.23066163468898,1.26441635216806,0.92003378110897,0.000738961758728986,0.882505080362091,1,0.00142514053469162,1.31405874745982,0.000870919215644876,1.30331741046687,0.000607004301813095,1.05935446412077,0.487582803304215,0.782903591881977
"1168_S636_L002_R",0.482290556654996,0.000355203734713554,1.21116862028721,1.19949764043233,0.000152230172020094,0.00116709798548739,0.883417059927944,1,1.25239762520932,0.0282894403004009,0.000811894250773837,1.24790683513472,1.14426345968438,0.992642208352362,0.000482062211396966,0.00946364236058253
"1169_S637_L002_R",0.474549126937649,2.39031444586535e-05,1.20707294044532,1.17439734197034,4.78062889173071e-05,0.00044220817248509,0.855648910614191,1,1.25355260484517,0.0318509399911558,0.00077685219490624,1.22376928684969,1.22350635226064,0.947209905463064,0.000908319489428834,0.00775657037683307
"1170_S638_L002_R",0.490419026973967,0.000695310742550972,0.673183500685086,1.27432053825232,0.635861674062864,0.586371909446001,0.831162191455858,1,1.23137487474181,0.0312889834147938,0.474099674839976,1.27562935847359,1.11971614961451,0.896991758522669,0.00079756232233788,0.367860283441379
"1172_S639_L002_R",0.25646135145368,0.00045832253950541,0.649403184345296,0.644401490544607,0.000139489468545125,0.577466472709882,0.464559711456071,1,0.639519359145527,0.0169180798278301,0.481278520614551,1.26995197576869,0.562242193571528,0.0496183966681944,0.203475280473467,0.00557957874180499
"1174_S640_L002_R",0.508722851226926,0.000682849464734129,0.646438169082338,0.633177673025243,0.000220274020881977,0.564055685272479,0.904555266751839,1,1.32085113881669,0.0227102515529318,0.468148376580466,1.21956914401515,1.1222520815895,0.496783999295123,0.000748931670998722,0.0057491519450196
"1175_S641_L002_R",0.486901769142213,0.00103376171792402,0.669078777341823,1.29885111481803,0.649883701806733,0.591546648497521,0.871766557808425,1,1.23384159951131,0.0313417757206964,0.46925733618401,1.27082207551159,1.18114324648169,0.932899466672932,0.00176209383737049,0.389328759720884
"1176_S642_L002_R",0.495556694864565,0.000897205844655217,0.00262753140220456,0.642313936597454,0.637208408100487,1.1554729556524,0.894193796462446,1,1.22425873707596,0.0286037768093651,0.924656071092882,1.26894813295736,1.17281893531573,0.368089378791763,0.00187985986499188,0.366423139365975
"1177_S643_L002_R",0.474396312518632,0.000435709863095375,1.2351228013851,1.24009906666361,0.000917283922306052,0.000642098745614236,0.862178090673516,1,1.28254638016832,0.0307060792991951,0.00103194441259431,1.23337996193272,1.13270805145963,1.00655858004449,0.00158231476597794,0.0101818515375972
"1178_S644_L002_R",0.692927319312086,1.27127610550958,0.633960664319552,1.24331348730899,0.631343201046985,0.708226576468637,1.2208438554128,1,0.00151149287570736,1.79194853551087,0.853772280695287,1.24143333763433,0.000165895559528857,0.885200272806031,0.443014875301838,1.42406591583565
"1179_S645_L002_R",0.504888699036499,0.513811761355546,0.000830604205230433,0.660093027670986,0.642104513740567,1.12518391950259,0.892614742038065,1,0.6528311737624,0.683326213868717,0.933148227253311,1.29263372727704,0.610683943234135,0.384688404765295,0.237362950306137,0.772722957900233
